1,"Silver"
2,"Gold Bar 1G"
3,"Gold Bar 10G"
4,"Gold Bar 100G"
5,"Gold Bar 1,000G"
6,"Pearl"
7,"Loyalties"
8,"Gold Bar 10,000G"
10,"Crow Coin"
11,"Pure Black Stone"
12,"Pure Black Stone"
13,"Pure Black Stone"
14,"Pure Black Stone"
15,"Pure Black Stone"
16,"Pure Black Stone"
17,"Pure Black Stone"
21,"Bartali Gold Bar"
22,"Lauren Family's Gold Bar"
23,"Gold Bar from the Citizen Bank"
28,"Prognyl Silver Bar"
31,"Popularity Bonus Level 1"
32,"Popularity Bonus Level 2"
33,"Popularity Bonus Level 3"
34,"Popularity Bonus Level 4"
51,"Skill Point (1)"
52,"Skill Points (2)"
53,"Skill Points (3)"
54,"Skill Points (4)"
55,"Skill Points (5)"
56,"Skill Points (6)"
57,"Skill Points (7)"
58,"Skill Points (8)"
59,"Skill Points (9)"
60,"Skill Points (10)"
61,"Skill EXP (Red Battlefield Win)"
62,"Skill EXP (Red Battlefield Lose)"
63,"Skill EXP (Red Battlefield Win)"
64,"Skill EXP (Red Battlefield Lose)"
65,"Skill EXP"
66,"Skill EXP"
67,"Skill EXP"
68,"Skill EXP"
70,"Farming Skill Experience"
71,"Farming Skill Experience"
72,"Farming Skill Experience"
73,"Farming Skill Experience"
74,"Farming Skill Experience"
75,"Farming Skill Experience"
76,"Farming Skill Experience"
77,"Farming Skill Experience"
78,"Farming Skill Experience"
79,"Sailing Skill EXP"
80,"Sailing Skill EXP"
81,"Sailing Skill EXP"
82,"Sailing Skill EXP"
83,"Sailing Skill EXP"
84,"Sailing Skill EXP"
85,"Sailing Skill EXP"
86,"Sailing Skill EXP"
87,"Sailing Skill EXP"
88,"Bartering EXP"
89,"Bartering EXP"
90,"Bartering EXP"
91,"Bartering EXP"
101,"Warrior Skill Book - Chopping Kick"
102,"Warrior Skill Book - Charging Thrust"
103,"Warrior Skill Book - Spinning Slash"
104,"Ranger Skill Book - Evasive Shot II"
105,"Ranger Skill Book - Evasive Shot (Right)"
106,"Ranger Skill Book - Razor Wind"
107,"Sorceress Skill Book - Claws of Darkness"
108,"Sorceress Skill Book - Mark of the Shadow"
109,"Sorceress Skill Book - Shard Explosion"
110,"Berserker Skill Book - Shake Off"
111,"Berserker Skill Book - Predatory Hunt"
112,"Berserker Skill Book - Raging Thunder"
113,"Warrior Skill Book - Soul of Warrior"
